index,0,1,2,3,4,5
136,1312 - RODRIGUEZ MORALES Diego Aparicio,SEH,73,31:03:58,10:52:14,Uruguay
137,198 - MORETTI Luciana,SEF,9,31:04:00,10:52:16,Argentina
138,"303 - BERGUERAND Patrice
CMBM",V2H,8,31:08:19,10:56:35,Francia
139,"506 - ISOLDA Roberto
INSUBRIA SKY TEAM",SEH,74,31:14:05,11:02:21,Italia
140,1785 - MOTTA Raphael,SEH,75,31:16:32,11:04:48,Francia
141,"708 - HENRICSON Martin
SWEDISH TRAIL RUNNING",SEH,76,31:21:39,11:09:55,Suecia
142,"166 - MANGARETTO Marco
società SPORTIVA Pont-Saint-Martin",V1H,43,31:22:04,11:10:20,Italia
143,"1248 - GOUBARD Xavier
TRIATHLONS",V1H,44,31:24:09,11:12:25,Francia
144,1043 - ARBIZU Patxi,SEH,77,31:25:40,11:13:56,España
145,"2143 - PLAIRE Cedric
CASL",SEH,78,31:35:32,11:23:48,Francia
146,1063 - MACARY Philippe,SEH,79,31:35:33,11:23:49,Francia
147,133 - CZABARANEK Joseph,SEH,80,31:38:41,11:26:57,Estados Unidos
148,"172 - CARVALHO DA MOTA Luis Carlos
THE NORT FACE - PORTUGAL",V1H,45,31:38:52,11:27:08,Portugal
149,"1810 - PLASIN ABADIAS Oscar
PENA GUARA",V1H,46,31:39:03,11:27:19,España
150,205 - WIADROWSKI Toby,V1H,47,31:39:43,11:27:59,Australia
151,1717 - GRATALOUP Daniel,V2H,9,31:40:48,11:29:04,Francia
152,"1990 - SOLANES PUIG Eduard
C.E. ELS PICONS",SEH,81,31:41:20,11:29:36,España
153,1995 - ROSAURO GONZALVO Antonio,SEH,81,31:41:20,11:29:36,España
154,"1988 - KORAB Robert
RZESZOWSKIE GAZELE I GEPARDY",V1H,48,31:43:20,11:31:36,Polonia
155,"1928 - IVANOVSKI Zhikica
PSD MAKPETROL",SEH,83,31:46:08,11:34:24,Macedonia del Norte
156,"199 - CIRAVEGNA Ernesto
BERGTEAM SALOMON",V1H,49,31:47:46,11:36:02,Italia
157,"218 - MACHADO Manuel
TR' AILLEURS",V1H,50,31:48:12,11:36:28,Francia
158,"431 - SERRA MATEU Josep
CLUB ALPI PALAMOS (ESP)",V1H,51,31:48:37,11:36:53,España
159,384 - FERNANDEZ CORMENZANA Ibon,V1H,52,31:48:39,11:36:55,España
160,1199 - AUNE John,V1H,53,31:54:09,11:42:25,Francia
161,"129 - DEGRAVE Leila
Inov-8 USA",SEF,10,31:58:41,11:46:57,Estados Unidos
162,"552 - BOURDILLOUD Christophe
OSCHNER SPORT VEVEY / Mulaff",SEH,84,31:59:30,11:47:46,Suiza
163,"1237 - SMITH Phil
TOTAL RACING INT",SEH,85,32:02:47,11:51:03,Reino Unido
164,865 - TOMA Marius,SEH,86,32:07:33,11:55:49,Estados Unidos
165,"381 - DE LAS HERAS MONFORTE Nicolas
THE NORTH FACE",V2H,10,32:08:14,11:56:30,España
166,797 - ATHANASOPOULOS Leonidas,V1H,54,32:09:58,11:58:14,Grecia
167,"2364 - CAVERT DE LA TOUR Gilles
ATTIPPA / A STAZZONA",V1H,55,32:15:26,12:03:42,Francia
168,862 - EPALE Tanguy,SEH,87,32:21:04,12:09:20,Francia
169,"80 - HEWEY Adam
SEVENHILLS RUNNING TEAM",V1H,56,32:21:08,12:09:24,Estados Unidos
170,2186 - GUIGNIER Regis,SEH,88,32:23:44,12:12:00,Francia
171,"102 - OHSHIMA Takuro
UNG",SEH,89,32:24:50,12:13:06,Japón
172,"2429 - CAZALI Emmanuel
LE KANDAHAR",V2H,11,32:25:48,12:14:04,Francia
